smiles,source,pki
CCCCCCC(C)(C)c1cc(OCc2ccccc2)c2c(c1)OC(C)(C)c1cnn(-c3ccc(Cl)c(Cl)c3)c1-2,ChEMBL,4.3979400086720375
Cl.O=C(NN1CCCCC1)c1nn(-c2ccc(Cl)cc2Cl)c2c1CCc1cc(C3CC3)ccc1-2,ChEMBL,4.3979400086720375
CCCCCCCCCCCCCCCCNC(=O)c1cc(-c2ccccc2)n(-c2ccccc2)n1,ChEMBL,4.3979400086720375
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)c1cnn(-c3cc(F)cc(F)c3)c1-2,ChEMBL,4.3979400086720375
CCCCCCC(C)(C)c1cc(OCCCO)c2c(c1)OC(C)(C)c1cn(CC)nc1-2,ChEMBL,4.3979400086720375
CCCCCc1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2Cl)n1,ChEMBL,4.3979400086720375
COc1ccc(COc2nn(CCN(C(C)C)C(C)C)c3ccc([N+](=O)[O-])cc23)cc1,ChEMBL,4.3979400086720375
COc1ccc2c(c1)OC(C)(C)c1cn(CNC(=O)CN3CCN(c4ccccc4)CC3)nc1-2,ChEMBL,4.3979400086720375
CCCCCCC(C)(C)c1cc(OCCCO)c2c(c1)OC(C)(C)c1cn(C)nc1-2,ChEMBL,4.3979400086720375
COc1ccc2c(c1)OC(C)(C)c1cnn(CNC(=O)CN3CCN(c4ccccc4)CC3)c1-2,ChEMBL,4.3979400086720375
COc1ccc2c(c1)OC(C)(C)c1cn(CCN3CCN(C(=O)C4CCCCC4)CC3)nc1-2,ChEMBL,4.3979400086720375
CCCCCCC(C)(C)c1cc(OCCCO)c2c(c1)OC(C)(C)c1cnn(-c3ccc(Cl)cc3Cl)c1-2,ChEMBL,4.3979400086720375
CCCCCCC(C)(C)c1cc(OCc2ccccc2)c2c(c1)OC(C)(C)c1cnn(-c3ccc(Cl)cc3Cl)c1-2,ChEMBL,4.3979400086720375
CCCCCCCC/C=C\CCCCCCCCNC(=O)c1nn(-c2ccccc2)c(-c2ccccc2)c1C,ChEMBL,4.3979400086720375
