GLASS#	UniProt	Ligand standard InChI Key	Param	Min	Max	Unit	Reference (PMID or other citations)
3335	P21554	AECDUWIGGSTJHF-UHFFFAOYSA-N	EC50	2103.0	2103.0	nM	16451053
3335	P21554	AECDUWIGGSTJHF-UHFFFAOYSA-N	Emax	-51.9	-51.9	%	16451053
3335	P21554	AECDUWIGGSTJHF-UHFFFAOYSA-N	Ki	2163.0	2163.0	nM	16451053
3544	P21554	AEJSWYYMIDGUTI-JCTONOIOSA-N	IC50	0.0	17000.0	nM	21420857
3564	P21554	AEKOYIYPZKHXPB-AWEZNQCLSA-N	EC50	0.0	2000.0	nM	18640038
3564	P21554	AEKOYIYPZKHXPB-AWEZNQCLSA-N	EC50	1270.0	1270.0	nM	18640038
3564	P21554	AEKOYIYPZKHXPB-AWEZNQCLSA-N	Emax	3.0	3.0	%	18640038
3564	P21554	AEKOYIYPZKHXPB-AWEZNQCLSA-N	Emax	46.0	46.0	%	18640038
3565	P21554	AEKOYIYPZKHXPB-CQSZACIVSA-N	EC50	1690.0	1690.0	nM	18640038
3565	P21554	AEKOYIYPZKHXPB-CQSZACIVSA-N	Emax	24.0	24.0	%	18640038
3737	P21554	AEQCRHHKHAEZJW-UHFFFAOYSA-N	EC50	0.0	10000.0	nM	19062274
3737	P21554	AEQCRHHKHAEZJW-UHFFFAOYSA-N	Emax	0.0	0.0	%	19062274
3971	P21554	AEZJZQUQSSELMO-UHFFFAOYSA-N	IC50	0.4	0.4	nM	20096577
4002	P21554	AFAUSGRZFUVSQG-UHFFFAOYSA-N	Activity	88.0	88.0	%	18342403
4002	P21554	AFAUSGRZFUVSQG-UHFFFAOYSA-N	Ki	1100.0	1100.0	nM	18342403
4047	P21554	AFDCQBQZRAFVFB-UHFFFAOYSA-N	Inhibition	49.0	49.0	%	14980654
4063	P21554	AFDRRYWYTXYOJI-LGMDPLHJSA-N	Inhibition	29.0	29.0	%	MedChemComm, (2014) 5:5:632
4063	P21554	AFDRRYWYTXYOJI-LGMDPLHJSA-N	Intrinsic activity	-49.0	-49.0	%	MedChemComm, (2014) 5:5:632
4063	P21554	AFDRRYWYTXYOJI-LGMDPLHJSA-N	Ki	0.0	10000.0	nM	MedChemComm, (2014) 5:5:632
4147	P21554	AFGZZNBQSVRQPB-UHFFFAOYSA-N	Ki	0.0	40000.0	nM	23434135
4188	P21554	AFIUDWKMRIDODU-UHFFFAOYSA-N	Inhibition	16.0	16.0	%	21923175
4197	P21554	AFIXFFULGZXNJF-UHFFFAOYSA-N	Ki	43.0	43.0	nM	23350768
4263	P21554	AFLFDWFMPIVDTL-UHFFFAOYSA-N	Activity	38.0	38.0	%	23697626
4263	P21554	AFLFDWFMPIVDTL-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	23697626
4422	P21554	AFRWXKHLYPWETA-UHFFFAOYSA-N	Activity	180.1	180.1	%	22571451
4422	P21554	AFRWXKHLYPWETA-UHFFFAOYSA-N	EC50	1510.0	1510.0	nM	26203658
4422	P21554	AFRWXKHLYPWETA-UHFFFAOYSA-N	EC50	2660.0	2660.0	nM	26203658
4422	P21554	AFRWXKHLYPWETA-UHFFFAOYSA-N	EC50	2970.0	2970.0	nM	26203658
4422	P21554	AFRWXKHLYPWETA-UHFFFAOYSA-N	EC50	8450.0	8450.0	nM	22571451
4422	P21554	AFRWXKHLYPWETA-UHFFFAOYSA-N	EC50	13370.0	13370.0	nM	26203658
4555	P21554	AFWBYMXUEMOBRP-UHFFFAOYSA-N	Ki	676.08	676.08	nM	19921781
4555	P21554	AFWBYMXUEMOBRP-UHFFFAOYSA-N	Ki	680.0	680.0	nM	19921781
4860	P21554	AGGRDHRJDWHWOX-SCLBCKFNSA-N	IC50	0.0	2000.0	nM	17293109
4860	P21554	AGGRDHRJDWHWOX-SCLBCKFNSA-N	IC50	2041.74	2041.74	nM	19406638
4862	P21554	AGGRDHRJDWHWOX-UHFFFAOYSA-N	IC50	2041.74	2041.74	nM	19406638
5041	P21554	AGNDHMNUEJDYLS-UHFFFAOYSA-N	IC50	4.5	4.5	nM	20005704
5071	P21554	AGOHXRYBJHVPSH-UHFFFAOYSA-N	EC50	0.0	100000.0	nM	23795771
5117	P21554	AGQKCJTVQUVRNG-UHFFFAOYSA-N	Activity	49.0	49.0	%	16279809
5224	P21554	AGUKQCZHXHAYCS-UHFFFAOYSA-N	IC50	6.166	6.166	nM	19406638
5224	P21554	AGUKQCZHXHAYCS-UHFFFAOYSA-N	IC50	6.17	6.17	nM	19406638
5258	P21554	AGVNWIQMYMIUTK-UHFFFAOYSA-N	Kd	0.7943	0.7943	nM	14736243
5258	P21554	AGVNWIQMYMIUTK-UHFFFAOYSA-N	Ki	36.5	36.5	nM	14736243
5285	P21554	AGWFBLXHVMWDGS-UHFFFAOYSA-N	Ki	13.0	13.0	nM	18335976
5330	P21554	AGYFBALDFWJXGI-RTBURBONSA-N	Ki	0.0	3000.0	nM	20079638
5340	P21554	AGYKJMUYQFTAJK-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	22370265
5430	P21554	AHCIYSVQHQBDEF-UHFFFAOYSA-N	Activity	0.0	60.0	%	23017078
5430	P21554	AHCIYSVQHQBDEF-UHFFFAOYSA-N	Ki	0.0	1000.0	nM	23017078
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	Activity	30.0	0.0	%	25797163
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	Activity	243.8	243.8	%	22571451
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	EC50	9.05	9.05	nM	26529344
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	EC50	83.0	83.0	nM	26529344
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	EC50	140.0	140.0	nM	22571451
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	EC50	324.0	324.0	nM	26529344
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	EC50	640.0	640.0	nM	26203658
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	EC50	2090.0	2090.0	nM	26203658
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	EC50	2240.0	2240.0	nM	26203658
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	EC50	10590.0	10590.0	nM	26203658
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	Emax	78.1	78.1	%	26529344
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	Emax	105.0	105.0	%	26529344
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	Emax	109.3	109.3	%	26529344
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	IC50	853.0	853.0	nM	25797163
5515	P21554	AHFZDNYNXFMRFQ-UHFFFAOYSA-N	Kb	217.3	217.3	nM	24053617,24635495
5570	P21554	AHIGFBNAPKVCDM-UHFFFAOYSA-N	IC50	810.0	810.0	nM	20643546
5653	P21554	AHLBNYSZXLDEJQ-FWEHEUNISA-N	IC50	100.0	100.0	nM	16078824
5653	P21554	AHLBNYSZXLDEJQ-FWEHEUNISA-N	Ki	2500.0	2500.0	nM	18831576
5805	P21554	AHQOXZVRRWNEIC-UHFFFAOYSA-N	EC50	25.12	25.12	nM	20634067
5855	P21554	AHSRHMMHWWWQOE-UHFFFAOYSA-N	IC50	997.0	997.0	nM	22421019
5855	P21554	AHSRHMMHWWWQOE-UHFFFAOYSA-N	Ki	2880.0	2880.0	nM	22421019
6037	P21554	AIAGUSOMSQCWDK-UHFFFAOYSA-N	Inhibition	38.0	38.0	%	23350768
6037	P21554	AIAGUSOMSQCWDK-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	23350768
