GLASS#	UniProt	Ligand standard InChI Key	Param	Min	Max	Unit	Reference (PMID or other citations)
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	EC50	316.23	316.23	nM	17027269
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	EC50	1760.0	1760.0	nM	23621789
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Emax	98.3	98.3	%	17630726
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	IC50	2.0	2.0	nM	17582659
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	IC50	16.0	16.0	nM	20875743
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	IC50	17.0	17.0	nM	17521907
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	IC50	59.0	59.0	nM	23227781
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	IC50	63.0	63.0	nM	17027269
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	IC50	63.1	63.1	nM	17027269
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	IC50	140.0	140.0	nM	17630726
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	IC50	200.0	200.0	nM	23403082
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Inhibition	27.0	27.0	%	23403082
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Inhibition	70.0	70.0	%	26789378
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	1.89	1.89	nM	27560280
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	1.9	1.9	nM	23672690,23466226,27560280,18680277,22341572,12747783,23865723
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	1.99526	125.893	nM	7565624,8819477,8679694
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	2.48	2.48	nM	9857088
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	2.5	2.5	nM	25072877,9857088
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	6.06	6.06	nM	19278853
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	6.06	6.06	nM	19278853
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	7.5	7.5	nM	24831513
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	8.8	8.8	nM	26149623
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	9.2	9.2	nM	21999614,27448919,20022504,21902175
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	9.87	9.87	nM	11160626
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	11.0	11.0	nM	23350768
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	11.3	11.3	nM	23350768
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	11.7	11.7	nM	12065738
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	12.0	12.0	nM	14613317
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	12.4	12.4	nM	22738271
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	12.5	12.5	nM	26922225
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	12.59	12.59	nM	21316962,MedChemComm, (2010) 1:1:54,21074434
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	13.0	13.0	nM	26922225
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	13.18	13.18	nM	19921781,18311894
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	13.3	13.3	nM	19921781,18311894,21183257
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	14.0	14.0	nM	17521907
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	15.0	15.0	nM	14613317
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	16.1	16.1	nM	24508127
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	20.0	20.0	nM	22044209
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	21.0	21.0	nM	25065940,19331413,17942307,16213718,17561406,16279794
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	23.0	23.0	nM	11678659
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	36.0	36.0	nM	26209834
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	36.2	36.2	nM	24378710,26209834
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	40.0	40.0	nM	12161142
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	40.9	40.9	nM	17884494
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	45.0	45.0	nM	14613317
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	45.59	45.59	nM	23434135
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	45.6	45.6	nM	24936232,26789378,24141201
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	46.0	46.0	nM	23434135,26789378,22607668
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	52.0	52.0	nM	25699149
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	52.4	52.4	nM	25699149,23017078,23151320
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	79.43	79.43	nM	21885167
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	94.5	94.5	nM	20688519
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	107.0	107.0	nM	14613317
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	140.0	140.0	nM	18522867
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	150.0	150.0	nM	23403082
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	152.0	152.0	nM	10465552
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	152.2	152.2	nM	10465552
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	199.0	199.0	nM	14613317
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	3800.0	3800.0	nM	16279809
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ki	3802.0	3802.0	nM	16451053,15801840
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Log Ki	0.28	0.28	nM	10882356
121768	P21554	HQVHOQAKMCMIIM-HXUWFJFHSA-N	Ratio	1.0	1.0	-	23621789
121777	P21554	HQVHOQAKMCMIIM-UHFFFAOYSA-N	Kd	12.5893	15.8489	nM	8622639,9422383
121777	P21554	HQVHOQAKMCMIIM-UHFFFAOYSA-N	Ki	9.87	9.87	nM	11160626
121777	P21554	HQVHOQAKMCMIIM-UHFFFAOYSA-N	Ki	21.0	21.0	nM	17942307
121830	P21554	HQXSCIAIRUQCLE-IEBWSBKVSA-N	Ki	0.0	5000.0	nM	24175572
121842	P21554	HQYCNJRSEGRXRZ-UHFFFAOYSA-N	Activity	35.1	35.1	%	17915849
122028	P21554	HRFSPRYAKFJJPT-UHFFFAOYSA-N	EC50	0.0	3162.28	nM	19010671
122028	P21554	HRFSPRYAKFJJPT-UHFFFAOYSA-N	Efficacy	7.0	7.0	%	19010671
122144	P21554	HRKDPMVQKIZXSS-UHFFFAOYSA-N	Kb	6.5	6.5	nM	17107792
122144	P21554	HRKDPMVQKIZXSS-UHFFFAOYSA-N	Ki	7.5	7.5	nM	17107792
122174	P21554	HRLKLBHUUARAHR-UHFFFAOYSA-N	Ki	13.7	13.7	nM	23350768
122174	P21554	HRLKLBHUUARAHR-UHFFFAOYSA-N	Ki	14.0	14.0	nM	23350768
122321	P21554	HRQXJJWQYKYFHP-UHFFFAOYSA-N	IC50	0.0	32000.0	nM	PubChem BioAssay data set
122431	P21554	HRUFJXCYLZUGDU-GKFVBPDJSA-N	Log Ki	3.6	3.6	nM	10882356
122473	P21554	HRWBYOQDRHSHDM-VQTJNVASSA-N	IC50	0.3	0.3	nM	19320488
122666	P21554	HSDHYQYLBBAZAZ-UHFFFAOYSA-N	IC50	65.0	65.0	nM	15664830
122675	P21554	HSDWONHLQMASLI-UHFFFAOYSA-N	EC50	630.96	630.96	nM	22421020
122682	P21554	HSEMFIZWXHQJAE-UHFFFAOYSA-N	Inhibition	11.7	11.7	%	12672243
122704	P21554	HSEYCWKXEQJOKJ-UHFFFAOYSA-N	Kd	3.981	3.981	nM	20137935
122704	P21554	HSEYCWKXEQJOKJ-UHFFFAOYSA-N	Ki	84.0	84.0	nM	20137935
122730	P21554	HSFPMLIZJAVYHM-NPNWTSAVSA-N	IC50	2400.0	2400.0	nM	24175626
122730	P21554	HSFPMLIZJAVYHM-NPNWTSAVSA-N	Inhibition	45.0	45.0	%	24175626
122863	P21554	HSJNURVDTMNEII-UHFFFAOYSA-N	Activity	34.0	34.0	%	23697626
122863	P21554	HSJNURVDTMNEII-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	23697626
122890	P21554	HSKLTESOTQDSLW-UHFFFAOYSA-N	Activity	0.0	50.0	%	19331413
122890	P21554	HSKLTESOTQDSLW-UHFFFAOYSA-N	Ki	794.0	794.0	nM	19331413
122890	P21554	HSKLTESOTQDSLW-UHFFFAOYSA-N	Ki	794.33	794.33	nM	19331413
122890	P21554	HSKLTESOTQDSLW-UHFFFAOYSA-N	Ki	820.0	820.0	nM	19331413
123157	P21554	HSVCZCAJQDZYMB-UHFFFAOYSA-N	Ki	256.4	256.4	nM	Med Chem Res, (2013) 22:9:4133
123157	P21554	HSVCZCAJQDZYMB-UHFFFAOYSA-N	Ki	256.45	256.45	nM	Med Chem Res, (2013) 22:9:4133
123177	P21554	HSWJMGYBXXWXGF-UHFFFAOYSA-N	Ki	522.0	522.0	nM	22341572
123258	P21554	HTAHRMBUUXSICO-UHFFFAOYSA-N	Ki	0.0	1000.0	nM	20031412
123294	P21554	HTBWNPLJSBWHFI-UHFFFAOYSA-N	EC50	0.0	100000.0	nM	22765893
123366	P21554	HTDODMSZAQARTM-UHFFFAOYSA-N	EC50	19.2	19.2	nM	18712856
123366	P21554	HTDODMSZAQARTM-UHFFFAOYSA-N	IC50	7.9	7.9	nM	18712856
123389	P21554	HTEPJTSXQWHRIH-UHFFFAOYSA-N	Ki	0.0	5000.0	nM	21867920
123440	P21554	HTFLUZNOSRBKDY-UHFFFAOYSA-N	Ki	1400.0	1400.0	nM	19919895
123446	P21554	HTFSKZZOGPPCRP-NSHDSACASA-N	Ki	1251.0	1251.0	nM	17466519
123525	P21554	HTJCJFNAROHAIS-UHFFFAOYSA-N	Emax	8.0	8.0	%	18640038
123807	P21554	HTSLEZOTMYUPLU-UHFFFAOYSA-N	EC50	0.0	32000.0	nM	PubChem BioAssay data set
123807	P21554	HTSLEZOTMYUPLU-UHFFFAOYSA-N	IC50	0.0	32000.0	nM	PubChem BioAssay data set
123807	P21554	HTSLEZOTMYUPLU-UHFFFAOYSA-N	IC50	24600.0	24600.0	nM	,PubChem BioAssay data set
123849	P21554	HTSPNLBZEUOPLA-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	17604171
123935	P21554	HTUSIRLLEGBZGH-MRXNPFEDSA-N	IC50	0.0	10000.0	nM	18440813
124445	P21554	HUMIWYMGKVOYIQ-UHFFFAOYSA-N	Ki	210.0	210.0	nM	24729834
124451	P21554	HUMQXAQBYTVYGA-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	20718492
124754	P21554	HUYRDFAANWLWPF-UHFFFAOYSA-N	Ki	20.0	20.0	nM	16263283
124768	P21554	HUZILZNXVMKQDP-UHFFFAOYSA-N	Displacement	59.2	59.2	%	15801840
124797	P21554	HVARCGCHTAQUHJ-UHFFFAOYSA-N	Ki	3753.0	3753.0	nM	23350768
124801	P21554	HVARMSBQVRYMEU-UHFFFAOYSA-N	Inhibition	82.0	82.0	%	19520572
124801	P21554	HVARMSBQVRYMEU-UHFFFAOYSA-N	Ki	1086.0	1086.0	nM	19520572
124899	P21554	HVEZDGRGPISTDT-UHFFFAOYSA-N	Inhibition	53.0	53.0	%	15509177
125188	P21554	HVQNVIUEYAHELP-UHFFFAOYSA-N	EC50	0.0	31622.8	nM	20005703
125506	P21554	HWFCLBPSZFIZHU-UHFFFAOYSA-N	Ki	1700.0	1700.0	nM	19919895
125711	P21554	HWMVECSQTJCMEI-UHFFFAOYSA-N	EC50	39.81	39.81	nM	20688519
125711	P21554	HWMVECSQTJCMEI-UHFFFAOYSA-N	Ki	19.3	19.3	nM	20688519
125747	P21554	HWOMHXMYOQOTIQ-UHFFFAOYSA-N	Ki	32.0	32.0	nM	18511157
125804	P21554	HWQXPOZWUHQRFG-UHFFFAOYSA-N	Emax	-1.0	-1.0	%	18640038
125840	P21554	HWSYITIGXJIHQZ-UHFFFAOYSA-N	EC50	23.5	23.5	nM	19095444
125840	P21554	HWSYITIGXJIHQZ-UHFFFAOYSA-N	IC50	19.3	19.3	nM	19095444
125922	P21554	HWWUYYDPBSOWDC-UHFFFAOYSA-N	IC50	210.0	210.0	nM	15664830
125952	P21554	HWYQADZEUSGKLP-CASOXHBNSA-N	Ki	79.7	79.7	nM	19250829
125981	P21554	HWZHRQCIYAZCNG-UHFFFAOYSA-N	Ki	4.6	4.6	nM	17383180
125981	P21554	HWZHRQCIYAZCNG-UHFFFAOYSA-N	Ki	4.6	4.6	nM	17383180
126013	P21554	HXAXAFUBSPLSDK-UHFFFAOYSA-N	Ki	5.0	5.0	nM	24182233
126013	P21554	HXAXAFUBSPLSDK-UHFFFAOYSA-N	Ki	5.0	5.0	nM	24182233
126046	P21554	HXCBWOVPCXIWGK-UHFFFAOYSA-N	Ki	0.08	0.08	nM	24900484
126046	P21554	HXCBWOVPCXIWGK-UHFFFAOYSA-N	Ki	0.13	0.13	nM	24900484
126096	P21554	HXDMVEMVRVEPRD-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	22044209
126133	P21554	HXELDYRZCKHWSK-UHFFFAOYSA-N	EC50	0.0	32000.0	nM	PubChem BioAssay data set
126133	P21554	HXELDYRZCKHWSK-UHFFFAOYSA-N	IC50	0.0	32000.0	nM	PubChem BioAssay data set
126133	P21554	HXELDYRZCKHWSK-UHFFFAOYSA-N	IC50	3170.0	3170.0	nM	,PubChem BioAssay data set
126154	P21554	HXFBEIMBFSKIMT-UHFFFAOYSA-N	Activity	0.0	60.0	%	23017078
126265	P21554	HXIISXBVANMJQB-UHFFFAOYSA-N	IC50	5.2	5.2	nM	15664830
126369	P21554	HXLLYBHKLYVSHS-UHFFFAOYSA-N	EC50	0.0	17000.0	nM	24461289
126393	P21554	HXMBYVLPFPHKTR-ZJZGAYNASA-N	Ki	2600.0	2600.0	nM	18831576
126406	P21554	HXMNQTSLKJZKIT-UHFFFAOYSA-N	EC50	0.0	30000.0	nM	19743867
126617	P21554	HXSMUZUNIRWIPA-UHFFFAOYSA-N	IC50	0.51	0.51	nM	20015647
126831	P21554	HXYVTAGFYLMHSO-UHFFFAOYSA-N	Inhibition	23.8	23.8	%	12672243
126831	P21554	HXYVTAGFYLMHSO-UHFFFAOYSA-N	Inhibition	24.0	24.0	%	14521402
126831	P21554	HXYVTAGFYLMHSO-UHFFFAOYSA-N	Ki	0.0	5000.0	nM	19361197
126831	P21554	HXYVTAGFYLMHSO-UHFFFAOYSA-N	Ki	5000.0	5000.0	nM	19361197
127142	P21554	HYKNQHOOVGEYON-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	11020293
127197	P21554	HYNDOCFHNYVELW-UHFFFAOYSA-N	Ki	1720.0	1720.0	nM	,Bioorg. Med. Chem. Lett., (1996) 6:19:2263
127278	P21554	HYQPTXFCPLFWMJ-UHFFFAOYSA-N	Kd	3.162	3.162	nM	20363132
127278	P21554	HYQPTXFCPLFWMJ-UHFFFAOYSA-N	Ki	8.9	8.9	nM	20363132
127278	P21554	HYQPTXFCPLFWMJ-UHFFFAOYSA-N	Ki	8.9	8.9	nM	20363132
127477	P21554	HYYQYYSTJASFGK-UHFFFAOYSA-N	Ki	5.8	5.8	nM	18363352
128013	P21554	HZTRJTGVZCBDNG-UHFFFAOYSA-N	EC50	0.0	3162.28	nM	19010671
128013	P21554	HZTRJTGVZCBDNG-UHFFFAOYSA-N	Efficacy	10.0	0.0	%	19010671
128045	P21554	HZURZTBRYXBYIM-UHFFFAOYSA-N	EC50	1995.26	1995.26	nM	20688519
128045	P21554	HZURZTBRYXBYIM-UHFFFAOYSA-N	Ki	16.1	16.1	nM	20688519
128115	P21554	HZXIPPZNWZAVHU-UHFFFAOYSA-N	Ki	8.0	8.0	nM	22437111
128305	P21554	IADFNAUQPCDFOU-UHFFFAOYSA-N	IC50	27.0	27.0	nM	20719511
128378	P21554	IAGNLKFJNSJHHD-GAJHUEQPSA-N	IC50	132.0	132.0	nM	19632830
128496	P21554	IALHRRNWTXYGFJ-UHFFFAOYSA-N	Ki	3100.0	3100.0	nM	19919895
128544	P21554	IAMWQMDLEVUITJ-UHFFFAOYSA-N	IC50	58.0	58.0	nM	15664830
128617	P21554	IAOYCNAAGNIURB-ACCUITESSA-N	Activity	0.0	10.0	%	21074998
128617	P21554	IAOYCNAAGNIURB-ACCUITESSA-N	IC50	0.0	10000.0	nM	21074998
128617	P21554	IAOYCNAAGNIURB-ACCUITESSA-N	Ki	0.0	10000.0	nM	21074998
128705	P21554	IASJPSZIWIVSEB-ORMBLBCUSA-N	Ki	0.0	10000.0	nM	24831513
128943	P21554	IBBNKINXTRKICJ-UHFFFAOYSA-N	Ki	9.5	9.5	nM	21183257
128943	P21554	IBBNKINXTRKICJ-UHFFFAOYSA-N	Log Ki	0.98	0.98	nM	10882356
128963	P21554	IBCGCPIEVOHYAS-UHFFFAOYSA-N	Ki	14.0	14.0	nM	22341572
129236	P21554	IBNHPFJFQUFNTI-UHFFFAOYSA-N	Kd	6.31	6.31	nM	20047331
129236	P21554	IBNHPFJFQUFNTI-UHFFFAOYSA-N	Ki	88.0	88.0	nM	20047331
129344	P21554	IBRGBURIIAWWKO-UHFFFAOYSA-N	Ki	560.0	560.0	nM	17942307
129375	P21554	IBRWNXHLIWERAS-UHFFFAOYSA-N	Ki	0.0	5000.0	nM	21867920
129535	P21554	IBYOMJDMZHCLDS-UHFFFAOYSA-N	Activity	28.8	28.8	%	16392827
129535	P21554	IBYOMJDMZHCLDS-UHFFFAOYSA-N	Displacement	28.8	28.8	%	15801840
129665	P21554	ICCOLGPPOZLCMD-LZCUNHEZSA-N	IC50	8.0	8.0	nM	22959249
129672	P21554	ICCWLTVCIXVGMW-UHFFFAOYSA-N	IC50	7.0	7.0	nM	20719511
129712	P21554	ICEQXLWKTMVQNR-UHFFFAOYSA-N	Inhibition	33.0	33.0	%	21923175
129872	P21554	ICKXKXNHQRHUMS-UHFFFAOYSA-N	EC50	4.8	4.8	nM	19351113
129872	P21554	ICKXKXNHQRHUMS-UHFFFAOYSA-N	Ki	1.3	1.3	nM	19351113
129872	P21554	ICKXKXNHQRHUMS-UHFFFAOYSA-N	Ki	4.8	4.8	nM	19351113
129872	P21554	ICKXKXNHQRHUMS-UHFFFAOYSA-N	Ki	4.8	4.8	nM	19351113
129879	P21554	ICKZPCHRKFZOMO-UHFFFAOYSA-N	Ki	0.0	5000.0	nM	18522867
129885	P21554	ICLCHVCUUGMJML-UHFFFAOYSA-N	Ki	1.5	1.5	nM	19102698
129885	P21554	ICLCHVCUUGMJML-UHFFFAOYSA-N	Ki	7.1	7.1	nM	19102698
129885	P21554	ICLCHVCUUGMJML-UHFFFAOYSA-N	Ki	7.1	7.1	nM	19102698
130032	P21554	ICQQMPALZIDFAP-NRFANRHFSA-N	Ki	884.0	884.0	nM	15664857
130040	P21554	ICRCDAZBGGLEAU-UHFFFAOYSA-N	Ki	2131.0	2131.0	nM	17884494,19143566
130147	P21554	ICUZNHDYUBYBGC-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	22738271
130160	P21554	ICVNKBWPQVVXBS-UHFFFAOYSA-N	Ki	1100.0	1100.0	nM	18430570
130162	P21554	ICVQKTUVHNJULJ-UHFFFAOYSA-N	IC50	13.49	13.49	nM	21334892
130162	P21554	ICVQKTUVHNJULJ-UHFFFAOYSA-N	Ki	5.01	5.01	nM	21334892
130162	P21554	ICVQKTUVHNJULJ-UHFFFAOYSA-N	Ki	5.012	5.012	nM	21334892
130215	P21554	ICXUYCAXPDJQSC-UHFFFAOYSA-N	Ki	0.0	1000.0	nM	20979417
130444	P21554	IDGWWFQBFRONBN-UHFFFAOYSA-N	Kd	93.33	93.33	nM	18512901
130444	P21554	IDGWWFQBFRONBN-UHFFFAOYSA-N	Ki	116.0	116.0	nM	18512901
130444	P21554	IDGWWFQBFRONBN-UHFFFAOYSA-N	Ki	194.0	194.0	nM	18512901
130487	P21554	IDICPTJZTJUWIB-UHFFFAOYSA-N	Kd	3.7	3.7	nM	10633038
130611	P21554	IDMHLZYSPIYBSQ-UHFFFAOYSA-N	EC50	2000.0	2000.0	nM	18680277
130611	P21554	IDMHLZYSPIYBSQ-UHFFFAOYSA-N	Emax	23.0	23.0	%	18680277
130638	P21554	IDNINIUPGPXQTD-UHFFFAOYSA-N	EC50	0.0	20000.0	nM	21354795
130664	P21554	IDNXFVZPYHDCNJ-SFHVURJKSA-N	Ki	1173.0	1173.0	nM	15664857
130775	P21554	IDSPEHCJMMOLCS-WFQLQBQDSA-N	EC50	0.631	0.631	nM	20688519
130775	P21554	IDSPEHCJMMOLCS-WFQLQBQDSA-N	EC50	3.981	3.981	nM	20688519
130775	P21554	IDSPEHCJMMOLCS-WFQLQBQDSA-N	EC50	158.49	158.49	nM	20688519
130775	P21554	IDSPEHCJMMOLCS-WFQLQBQDSA-N	Kd	7.943	7.943	nM	20688519
130775	P21554	IDSPEHCJMMOLCS-WFQLQBQDSA-N	Ki	8.3	8.3	nM	20688519
130775	P21554	IDSPEHCJMMOLCS-WFQLQBQDSA-N	Ki	28.5	28.5	nM	20688519
130775	P21554	IDSPEHCJMMOLCS-WFQLQBQDSA-N	Ki	46.8	46.8	nM	20688519
130824	P21554	IDUFEEHNNASCMH-HSZRJFAPSA-N	EC50	5.8	5.8	nM	20423086
130824	P21554	IDUFEEHNNASCMH-HSZRJFAPSA-N	IC50	1.0	1.0	nM	20423086
130824	P21554	IDUFEEHNNASCMH-HSZRJFAPSA-N	Inhibition	-111.0	-111.0	%	20423086
130826	P21554	IDUFEEHNNASCMH-QHCPKHFHSA-N	IC50	7.65	7.65	nM	20423086
130944	P21554	IDZDKMNEPBYXQX-FNORWQNLSA-N	Ki	0.0	5000.0	nM	21867920
130947	P21554	IDZDVJUAYQJHQD-RTBURBONSA-N	Ki	1074.0	1074.0	nM	24175572
131067	P21554	IEDOQPJIOGYHSJ-UHFFFAOYSA-N	IC50	100.0	100.0	nM	18293908
131067	P21554	IEDOQPJIOGYHSJ-UHFFFAOYSA-N	Ki	56.0	56.0	nM	18293908
131151	P21554	IEHNWZUXAKHDHY-UHFFFAOYSA-N	EC50	14.0	14.0	nM	23227781
131151	P21554	IEHNWZUXAKHDHY-UHFFFAOYSA-N	Emax	130.0	130.0	%	23227781
131151	P21554	IEHNWZUXAKHDHY-UHFFFAOYSA-N	IC50	10000.0	10000.0	nM	23227781
131260	P21554	IELFAIYXQABENE-UHFFFAOYSA-N	EC50	0.0	20000.0	nM	21354795
131499	P21554	IETGTBDKZNYNIP-UHFFFAOYSA-N	EC50	3270.0	3270.0	nM	23147076
131499	P21554	IETGTBDKZNYNIP-UHFFFAOYSA-N	Efficacy	85.0	85.0	%	23147076
131555	P21554	IEVKXDBTVSPAJD-UHFFFAOYSA-N	Activity	49.5	49.5	%	17915849
131708	P21554	IFBOWHSGMKWESR-UHFFFAOYSA-N	Inhibition	10.8	10.8	%	12672243
131761	P21554	IFDNPDHNPZKLBU-UHFFFAOYSA-N	EC50	368.0	368.0	nM	23147076
131761	P21554	IFDNPDHNPZKLBU-UHFFFAOYSA-N	Efficacy	98.0	98.0	%	23147076
131811	P21554	IFFMOLDJKZHPFJ-UHFFFAOYSA-N	Ke	20.2	20.2	nM	22372835
131811	P21554	IFFMOLDJKZHPFJ-UHFFFAOYSA-N	Ki	42.3	42.3	nM	22372835
131843	P21554	IFGNRLNOPNZQDV-UHFFFAOYSA-N	EC50	630.96	630.96	nM	21411321
131852	P21554	IFGYCSXHVCOPGU-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	22044209
132044	P21554	IFMIHWYHYXZLKK-MBSDFSHPSA-N	IC50	16.98	16.98	nM	19406638
132044	P21554	IFMIHWYHYXZLKK-MBSDFSHPSA-N	IC50	17.0	17.0	nM	17181138
132069	P21554	IFNYGHXKMOTXNI-GFCCVEGCSA-N	IC50	0.0	17000.0	nM	21420860
132073	P21554	IFOCTOUIVAZJJR-XQBPLPMBSA-N	IC50	0.0	17000.0	nM	21420857
132162	P21554	IFSPIITUKXZDJT-UHFFFAOYSA-N	EC50	0.0	1000.0	nM	21115245
132393	P21554	IGBCISBWUNCTNY-UHFFFAOYSA-N	Ki	76.0	76.0	nM	22284817
132552	P21554	IGHQDVQIAGRFQM-UHFFFAOYSA-N	Activity	35.5	35.5	%	16392793
132686	P21554	IGNJHYULLHKBKW-UHFFFAOYSA-N	Ki	1920.0	1920.0	nM	24518874
132788	P21554	IGRADTMOIVTSKO-UHFFFAOYSA-N	Ki	0.0	10000.0	nM	21702498
132807	P21554	IGROZJFLUONIRU-UHFFFAOYSA-N	Ki	970.0	970.0	nM	21867920
132847	P21554	IGSRZAQANYOPFV-UHFFFAOYSA-N	Ki	0.0	1000.0	nM	21885167
133169	P21554	IHFQVFSRVQQXSC-RMKNXTFCSA-N	EC50	146.2	146.2	nM	18712856
133169	P21554	IHFQVFSRVQQXSC-RMKNXTFCSA-N	IC50	21.6	21.6	nM	18712856
133216	P21554	IHHKHUAUHBZSOV-UHFFFAOYSA-N	EC50	0.0	10000.0	nM	23380378
133463	P21554	IHQAQRHTEQQEAH-UHFFFAOYSA-N	Ki	9.81	9.81	nM	18448340
133495	P21554	IHRGFTKXMQQGTE-UHFFFAOYSA-N	IC50	63.1	63.1	nM	19338356
133566	P21554	IHUJIWXYFXDLJI-UHFFFAOYSA-N	Ki	0.1	0.1	nM	19683918
133566	P21554	IHUJIWXYFXDLJI-UHFFFAOYSA-N	Ki	0.1	0.1	nM	19683918
133627	P21554	IHWKJXQSHWGFEW-UHFFFAOYSA-N	Ki	56.0	56.0	nM	19595596
133662	P21554	IHYPHNXBPGENPI-QCUXXTRHSA-N	Ki	2000.0	2000.0	nM	21675776
133690	P21554	IHZVMHQKEHIAEQ-UHFFFAOYSA-N	IC50	1.2	1.2	nM	20096577
133750	P21554	IICJGABWSSVDPO-UHFFFAOYSA-N	Ki	2100.0	2100.0	nM	19595596
133856	P21554	IIGNHLGKWYVILK-UHFFFAOYSA-N	Ki	67.0	67.0	nM	22483967
134106	P21554	IIQQQYZNKDCKQP-NYJWAPBASA-N	Ki	9.2	9.2	nM	9784115
134227	P21554	IIUREMDDZYQCFM-UHFFFAOYSA-N	Ke	2.1	2.1	nM	22372835
134227	P21554	IIUREMDDZYQCFM-UHFFFAOYSA-N	Ki	43.0	43.0	nM	22372835
