"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"
"CHEMBL3978993"	""	"None"	"824.70"	"2"	"8.17"	"BDBM208345"	"O=S(=O)(N1CCC(Nc2ccnc3c(NC4CCN(S(=O)(=O)C(F)(F)F)CC4)cc(C(c4ccc(Cl)cc4)c4ccc(Cl)cc4)cc23)CC1)C(F)(F)F"	"EC50"	"'>'"	"13999.1"	"nM"	""	""	"368142"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3888023"	"cAMP Assay: The following mixtures and buffer solutions were prepared: (a) Buffer 1: HBSS (Mediatech Cat#21-023-CV) with 5 mM HEPES (1 mM stock, Gibco BRL Cat#15630-056) and 0.1% BSA (7.5% stock, Invitrogen Cat#15260-037); (b) Buffer 2: 0.5 mM IBMX (200 mM stock in DMSO, Sigma 15879) in Buffer 1; (c) 1 uM cAMP Standard (50 uM stock, Perkin Elmer Cat# AD0262) diluted in Buffer 2 and serially diluted in Buffer 2, 12 doses at 1/2 dilutions resulting in a dose range of 1 uM to 0.5 nM; (d) d2 labelled cAMP (CisBio HTRF Detection Kit Cat #62AM4PEB reconstituted with 6 ml dH2O) diluted 1/20 with lysis buffer (CisBio HTRF Detection Kit Cat #62AM4PEB); (e) anti-cAMP (CisBio HTRF Detection Kit Cat #62AM4PEB reconstituted with 5 ml dH2O) diluted 1/20 with lysis buffer (CisBio HTRF Detection Kit Cat #62AM4PEB); and (f) Forskolin (Sigma Cat# F6886, 10 mM in DMSO) diluted first in DMSO to 1 mM and then to 1.5 uM in Buffer 2."	"F"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886543"	"37"	"BindingDB Database"	""	"2016"	"None"	""
"CHEMBL3971778"	""	"None"	"556.52"	"2"	"5.85"	"9a"	"CS(=O)(=O)N1CCC(Nc2cc(=O)[nH]c3ccc(C(c4ccc(Cl)cc4)c4ccc(Cl)cc4)cc23)CC1"	"EC50"	"'='"	"94.4"	"nM"	"7.03"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4276261"	"Inverse agonist activity at human CB1 receptor expressed in HEK293 cells assessed as inhibition of forskolin-induced cAMP accumulation after 30 mins by HTRF assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4270663"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""
"CHEMBL3969848"	""	"None"	"515.96"	"2"	"8.55"	"BDBM208374"	"O=c1cc(/C=C/c2ccc(C(F)(F)F)cc2)c2cc(C(c3ccccc3)c3ccc(Cl)cc3)ccc2[nH]1"	"EC50"	"'='"	"1213.0"	"nM"	"5.92"	""	"368013"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3888023"	"cAMP Assay: The following mixtures and buffer solutions were prepared: (a) Buffer 1: HBSS (Mediatech Cat#21-023-CV) with 5 mM HEPES (1 mM stock, Gibco BRL Cat#15630-056) and 0.1% BSA (7.5% stock, Invitrogen Cat#15260-037); (b) Buffer 2: 0.5 mM IBMX (200 mM stock in DMSO, Sigma 15879) in Buffer 1; (c) 1 uM cAMP Standard (50 uM stock, Perkin Elmer Cat# AD0262) diluted in Buffer 2 and serially diluted in Buffer 2, 12 doses at 1/2 dilutions resulting in a dose range of 1 uM to 0.5 nM; (d) d2 labelled cAMP (CisBio HTRF Detection Kit Cat #62AM4PEB reconstituted with 6 ml dH2O) diluted 1/20 with lysis buffer (CisBio HTRF Detection Kit Cat #62AM4PEB); (e) anti-cAMP (CisBio HTRF Detection Kit Cat #62AM4PEB reconstituted with 5 ml dH2O) diluted 1/20 with lysis buffer (CisBio HTRF Detection Kit Cat #62AM4PEB); and (f) Forskolin (Sigma Cat# F6886, 10 mM in DMSO) diluted first in DMSO to 1 mM and then to 1.5 uM in Buffer 2."	"F"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886543"	"37"	"BindingDB Database"	""	"2016"	"None"	""
"CHEMBL3946529"	""	"None"	"451.00"	"0"	"4.98"	"5n"	"O=c1cc(NC2CCNCC2)c2cc(C(c3ccc(Cl)cc3)c3nccs3)ccc2[nH]1"	"EC50"	"'='"	"604.0"	"nM"	"6.22"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4276261"	"Inverse agonist activity at human CB1 receptor expressed in HEK293 cells assessed as inhibition of forskolin-induced cAMP accumulation after 30 mins by HTRF assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4270663"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""
"CHEMBL3962890"	""	"None"	"522.98"	"2"	"8.01"	"BDBM208326"	"O=c1cc(/C=C/c2ccc(C(F)(F)F)cc2)c2cc(C(c3ccc(Cl)cc3)c3nccs3)ccc2[nH]1"	"EC50"	"'='"	"397.0"	"nM"	"6.40"	""	"368008"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3888023"	"cAMP Assay: The following mixtures and buffer solutions were prepared: (a) Buffer 1: HBSS (Mediatech Cat#21-023-CV) with 5 mM HEPES (1 mM stock, Gibco BRL Cat#15630-056) and 0.1% BSA (7.5% stock, Invitrogen Cat#15260-037); (b) Buffer 2: 0.5 mM IBMX (200 mM stock in DMSO, Sigma 15879) in Buffer 1; (c) 1 uM cAMP Standard (50 uM stock, Perkin Elmer Cat# AD0262) diluted in Buffer 2 and serially diluted in Buffer 2, 12 doses at 1/2 dilutions resulting in a dose range of 1 uM to 0.5 nM; (d) d2 labelled cAMP (CisBio HTRF Detection Kit Cat #62AM4PEB reconstituted with 6 ml dH2O) diluted 1/20 with lysis buffer (CisBio HTRF Detection Kit Cat #62AM4PEB); (e) anti-cAMP (CisBio HTRF Detection Kit Cat #62AM4PEB reconstituted with 5 ml dH2O) diluted 1/20 with lysis buffer (CisBio HTRF Detection Kit Cat #62AM4PEB); and (f) Forskolin (Sigma Cat# F6886, 10 mM in DMSO) diluted first in DMSO to 1 mM and then to 1.5 uM in Buffer 2."	"F"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886543"	"37"	"BindingDB Database"	""	"2016"	"None"	""
"CHEMBL3977520"	""	"None"	"567.44"	"2"	"9.21"	"BDBM208397"	"CC(Nc1cc(=O)[nH]c2ccc(C(c3ccc(Cl)cc3)c3ccc(Cl)cc3)cc12)c1cccc(C(F)(F)F)c1"	"EC50"	"'='"	"36.0"	"nM"	"7.44"	""	"368053"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3888023"	"cAMP Assay: The following mixtures and buffer solutions were prepared: (a) Buffer 1: HBSS (Mediatech Cat#21-023-CV) with 5 mM HEPES (1 mM stock, Gibco BRL Cat#15630-056) and 0.1% BSA (7.5% stock, Invitrogen Cat#15260-037); (b) Buffer 2: 0.5 mM IBMX (200 mM stock in DMSO, Sigma 15879) in Buffer 1; (c) 1 uM cAMP Standard (50 uM stock, Perkin Elmer Cat# AD0262) diluted in Buffer 2 and serially diluted in Buffer 2, 12 doses at 1/2 dilutions resulting in a dose range of 1 uM to 0.5 nM; (d) d2 labelled cAMP (CisBio HTRF Detection Kit Cat #62AM4PEB reconstituted with 6 ml dH2O) diluted 1/20 with lysis buffer (CisBio HTRF Detection Kit Cat #62AM4PEB); (e) anti-cAMP (CisBio HTRF Detection Kit Cat #62AM4PEB reconstituted with 5 ml dH2O) diluted 1/20 with lysis buffer (CisBio HTRF Detection Kit Cat #62AM4PEB); and (f) Forskolin (Sigma Cat# F6886, 10 mM in DMSO) diluted first in DMSO to 1 mM and then to 1.5 uM in Buffer 2."	"F"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886543"	"37"	"BindingDB Database"	""	"2016"	"None"	""
"CHEMBL2029739"	""	"None"	"450.58"	"0"	"3.20"	"30"	"CN(CCCC(=O)NCC#N)C(=O)c1ccc2c(c1)c1c(n2C)CC[C@@H](C2CCOCC2)C1"	"Emax"	"'='"	"110.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL2032796"	"Agonist activity at human CB1 receptor expressed in HEK293 cells assessed as [35S]GTPgamma binding relative to WIN55212-2"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2029249"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2012"	"CHEMBL3307715"	""
"CHEMBL3962890"	""	"None"	"522.98"	"2"	"8.01"	"5d"	"O=c1cc(/C=C/c2ccc(C(F)(F)F)cc2)c2cc(C(c3ccc(Cl)cc3)c3nccs3)ccc2[nH]1"	"EC50"	"'='"	"396.0"	"nM"	"6.40"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4276261"	"Inverse agonist activity at human CB1 receptor expressed in HEK293 cells assessed as inhibition of forskolin-induced cAMP accumulation after 30 mins by HTRF assay"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4270663"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""
"CHEMBL1765684"	""	"None"	"493.41"	"1"	"5.58"	"9n"	"COc1ccc(-c2c(C)c(C(=O)NC3(C#N)CCCCC3)nn2-c2ccccc2Br)cc1"	"Ki"	"'='"	"15.7"	"nM"	"7.80"	""	""	"UO_0000065"	"15.82"	"0.33"	"2.22"	"9.76"	"0"	"CHEMBL1767553"	"Displacement of [3H]CP55940 from CB1 receptor"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1764973"	"1"	"Scientific Literature"	"J Med Chem"	"2011"	"None"	""
"CHEMBL1765821"	""	"None"	"483.34"	"0"	"4.55"	"9s"	"Cc1c(C(=O)NC2(C#N)CCOCC2)nn(-c2ccccc2Br)c1-c1cccc(F)c1"	"Ki"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1767553"	"Displacement of [3H]CP55940 from CB1 receptor"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL218"	"Cannabinoid CB1 receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1764973"	"1"	"Scientific Literature"	"J Med Chem"	"2011"	"None"	""
