gpcrdb_id,species,p-value,unit,pKi,assay_type,assay_des,source,molwt,logp,smiles,doi
144836,Human,7.8,pKi,7.8,Binding,RadioligandDisplacementAssay(SR141716):Furthercharacterizationofselectcompoundswasperformedusingradioliganddisplacementof[3H]1andequilibriumdissociationconstant(Ki)valuesweredetermined.SelectivityofthesecompoundsatCB1versusCB2wasalsodeterminedbyobtainingKivaluesateitherreceptorusingdisplacementofSR141716([3H]1inmembranesofCHO-K1cellsover-expressingeitherreceptor.Datareportedareaveragevaluesfrom3-6measurements.RadioligandDisplacementAssay(SR141716):Furthercharacterizationofselectcompoundswasperformedusingradioliganddisplacementof[3H]1andequilibriumdissociationconstant(Ki)valuesweredetermined.SelectivityofthesecompoundsatCB1versusCB2wasalsodeterminedbyobtainingKivaluesateitherreceptorusingdisplacementofSR141716([3H]1inmembranesofCHO-K1cellsover-expressingeitherreceptor.Datareportedareaveragevaluesfrom3-6measurements.,ChEMBL,473,4,O=S1(=O)CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1,
85989,Human,6.0,pKi,6.0,Binding,"Displacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysisDisplacementof[3H]CP-55,940fromhumanrecombinantCB1receptorexpressedinCHOcellmembranesafter90minsbyscintillationcountinganalysis",ChEMBL,438,4.7,CCCCCn1cc(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)c(=O)c2c(C)nn(C)c21,10.1021/jm301527r
178519,Human,4.5,pKi,4.5,Binding,Displacementof[3H]-CP55940fromCB1receptor(unknownorigin)Displacementof[3H]-CP55940fromCB1receptor(unknownorigin),ChEMBL,306,1.3,Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2,10.1021/acs.jnatprod.8b00874
63727,Human,5.5,pKi,5.5,Binding,"Displacementof[3H]CP55,940fromrecombinanthumanCB1receptorexpressedinCHOcellsafter2hrsbyliquidscintillationcountingDisplacementof[3H]CP55,940fromrecombinanthumanCB1receptorexpressedinCHOcellsafter2hrsbyliquidscintillationcounting",ChEMBL,266,4.2,C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,10.1021/ml300235q
58480,Human,8.2,pKi,8.2,Binding,Displacementof[3H]CP55940fromhumanCB1receptorexpressedinCHOcellmembranesafter2hrsDisplacementof[3H]CP55940fromhumanCB1receptorexpressedinCHOcellmembranesafter2hrs,ChEMBL,266,4.2,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,10.1016/j.ejmech.2016.03.072
92121,Human,8.5,pKi,8.5,Binding,Displacementof[3H]CP55940fromhumanCB1receptorexpressedinCHO-K1cellsDisplacementof[3H]CP55940fromhumanCB1receptorexpressedinCHO-K1cells,ChEMBL,510,5.5,CCOC(=O)NC1CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1,10.1021/jm401129n
92122,Human,8.6,pKi,8.6,Binding,Displacementof[3H]CP55940fromhumanCB1receptorexpressedinCHO-K1cellsDisplacementof[3H]CP55940fromhumanCB1receptorexpressedinCHO-K1cells,ChEMBL,558,6.5,O=C(NC1CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1)Oc1ccccc1,10.1021/jm401129n
92123,Human,8.5,pKi,8.5,Binding,Displacementof[3H]CP55940fromhumanCB1receptorexpressedinCHO-K1cellsDisplacementof[3H]CP55940fromhumanCB1receptorexpressedinCHO-K1cells,ChEMBL,548,6.5,O=C(NC1CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1)C1CCCCC1,10.1021/jm401129n
92124,Human,7.7,pKi,7.7,Binding,RadioligandDisplacementAssay(CP55940):Furthercharacterizationofselectcompoundswasperformedusingradioliganddisplacementof[3H]1andequilibriumdissociationconstant(Ki)valuesweredetermined.SelectivityofthesecompoundsatCB1versusCB2wasalsodeterminedbyobtainingKivaluesateitherreceptorusingdisplacementof[3H]CP55940inmembranesofCHO-K1cellsover-expressingeitherreceptor.Datareportedareaveragevaluesfrom3-6measurements.RadioligandDisplacementAssay(CP55940):Furthercharacterizationofselectcompoundswasperformedusingradioliganddisplacementof[3H]1andequilibriumdissociationconstant(Ki)valuesweredetermined.SelectivityofthesecompoundsatCB1versusCB2wasalsodeterminedbyobtainingKivaluesateitherreceptorusingdisplacementof[3H]CP55940inmembranesofCHO-K1cellsover-expressingeitherreceptor.Datareportedareaveragevaluesfrom3-6measurements.,ChEMBL,522,6.1,CCCCC(=O)NC1CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1,
92125,Human,8.7,pKi,8.7,Binding,Displacementof[3H]CP55940fromhumanCB1receptorexpressedinCHO-K1cellsDisplacementof[3H]CP55940fromhumanCB1receptorexpressedinCHO-K1cells,ChEMBL,562,6.8,O=C(CC1CCCCC1)NC1CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1,10.1021/jm401129n
